"","Group.1","score","facility_a","facility_c","facility_i","facility_n","pe_descrip","coords.x1","coords.x2"
"14825","FA0004830",96.25,"5101 S AVALON BLVD","LOS ANGELES","FA0004830","AA CHINESE EXPRESS FAST FOOD","RESTAURANT (0-30) SEATS HIGH RISK",-118.265199,33.996412
"14826","FA0052517",93,"7455 LANKERSHIM BLVD","NORTH HOLLYWOOD","FA0052517","TIKAL RESTAURANT","RESTAURANT (0-30) SEATS HIGH RISK",-118.387789,34.206416
"14827","FA0160038",85.8571428571429,"6300 S MAIN ST","LOS ANGELES","FA0160038","LOS CUNADOS","RESTAURANT (0-30) SEATS HIGH RISK",-118.273931,33.982128
"14828","FA0177763",96.1666666666667,"9200 FLAIR DR","EL MONTE","FA0177763","DEL TACO #1065","RESTAURANT (31-60) SEATS MODERATE RISK",-118.068606,34.071637
"14829","FA0052767",96,"27732 MCBEAN PKWY","VALENCIA","FA0052767","TOMATO JOE'S","RESTAURANT (0-30) SEATS MODERATE RISK",-118.553314,34.444971
"14830","FA0177025",96.1666666666667,"4259 W 3RD ST","LOS ANGELES","FA0177025","DOMINO'S PIZZA","RESTAURANT (0-30) SEATS MODERATE RISK",-118.307013,34.06898
"14831","FA0031563",93,"12000 SLAUSON AVE","SANTA FE SPRINGS","FA0031563","SAKO'S SANDWICH SHOP","RESTAURANT (61-150) SEATS MODERATE RISK",-118.059492,33.96315
"14832","FA0014764",94.7142857142857,"317 S BROADWAY SPC B-15","LOS ANGELES","FA0014764","CHINA CAFE","RESTAURANT (0-30) SEATS HIGH RISK",-118.248451,34.050476
"14833","FA0259034",95.1666666666667,"171 N GLENDORA AVE","GLENDORA","FA0259034","DIPLOMAT JUNIOR","RESTAURANT (31-60) SEATS HIGH RISK",-117.865463,34.138146
"14834","FA0051367",95,"2024 W CARSON ST","TORRANCE","FA0051367","THE FLAME BROILER #44","RESTAURANT (0-30) SEATS HIGH RISK",-118.317619,33.831394
"14835","FA0248808",93.875,"14811 OXNARD ST","VAN NUYS","FA0248808","OXNARD COFFEE SHOP AND RESTAURANT","RESTAURANT (0-30) SEATS HIGH RISK",-118.455616,34.179392
"14836","FA0055059",95.6,"15501 ARROW HWY","IRWINDALE","FA0055059","WHEEL FUN RENTAL","RESTAURANT (0-30) SEATS MODERATE RISK",-117.943796,34.107132
"14837","FA0055057",96.2,"8401 VAN NUYS BLVD UNIT 43","PANORAMA CITY","FA0055057","WETZEL'S PRETZELS","RESTAURANT (0-30) SEATS MODERATE RISK",-118.448838,34.223187
"14838","FA0036377",88.5714285714286,"800 W OLYMPIC BLVD STE 202","LOS ANGELES","FA0036377","LUCKY STRIKE","RESTAURANT (151 + ) SEATS HIGH RISK",-118.264457,34.045092
"14839","FA0045844",95.9230769230769,"1644 CLOVERFIELD BLVD","SANTA MONICA","FA0045844","RALPHS MARKET # 292","RESTAURANT (0-30) SEATS MODERATE RISK",-118.473205,34.027903
"14840","FA0011557",95.8,"15662 LEFFINGWELL RD","WHITTIER","FA0011557","DORADO BAKERY","RESTAURANT (31-60) SEATS MODERATE RISK",-117.994999,33.930704
"14841","FA0141435",97.2,"3826 MAIN ST","CULVER CITY","FA0141435","GRAND CASINO BAKERY","RESTAURANT (31-60) SEATS MODERATE RISK",-118.394629,34.024923
"14842","FA0016402",91.6,"464 W COLORADO ST","GLENDALE","FA0016402","COLORADO BAKERY","RESTAURANT (0-30) SEATS MODERATE RISK",-118.263713,34.142508
"14843","FA0026996",96,"29983 MULHOLLAND HWY","AGOURA HILLS","FA0026996","OLD PLACE","RESTAURANT (61-150) SEATS HIGH RISK",-118.778453,34.114376
"14844","FA0070980",98.6666666666667,"505 S FLOWER ST # B13","LOS ANGELES","FA0070980","STARBUCKS COFFEE #5284","RESTAURANT (0-30) SEATS LOW RISK",-118.256221,34.05142
"14845","FA0138973",97,"17222 1/2 LAKEWOOD BLVD","BELLFLOWER","FA0138973","SUBWAY 6549","RESTAURANT (0-30) SEATS MODERATE RISK",-118.142499,33.875414
"14846","FA0058346",97,"8714 E AVENUE T UNIT #M","LITTLEROCK","FA0058346","BIG AL'S PIZZA","RESTAURANT (0-30) SEATS HIGH RISK",-117.974526,34.542939
"14847","FA0009010",92.5714285714286,"16130 NORDHOFF ST","NORTH HILLS","FA0009010","CHOWKING","RESTAURANT (0-30) SEATS HIGH RISK",-118.483927,34.235642
"14848","FA0049913",94,"1066 N CITRUS AVE","COVINA","FA0049913","SUBWAY #3234","RESTAURANT (0-30) SEATS MODERATE RISK",-117.890201,34.09876
"14849","FA0039706",93,"10901 VICTORY BLVD","NORTH HOLLYWOOD","FA0039706","VICTORIOS PIZZA","RESTAURANT (61-150) SEATS HIGH RISK",-118.368125,34.186684
"14850","FA0059690",94.2857142857143,"21618 VENTURA BLVD","WOODLAND HILLS","FA0059690","CHINA GARDEN","RESTAURANT (61-150) SEATS HIGH RISK",-118.600398,34.16826
